HMDBID,Name,Biospecimen,Subject_age,Concentration_average,Concentration_units
HMDB0008561,PC(22:1(13Z)/16:0),Feces,Adult,0.045,nmol/g wet feces
HMDB0008563,PC(22:1(13Z)/18:0),Blood,Adolescent,0.45,uM
HMDB0008563,PC(22:1(13Z)/18:0),Blood,Adult,0.415,uM
HMDB0008563,PC(22:1(13Z)/18:0),Blood,Infant,0.39,uM
HMDB0008563,PC(22:1(13Z)/18:0),Blood,Newborn,0.35,uM
HMDB0008563,PC(22:1(13Z)/18:0),Feces,Adult,0.68,nmol/g wet feces
HMDB0008563,PC(22:1(13Z)/18:0),Urine,Newborn,0.005,umol/mmol creatinine
HMDB0008564,PC(22:1(13Z)/18:1(9Z)),Blood,Adolescent,0.36,uM
HMDB0008564,PC(22:1(13Z)/18:1(9Z)),Blood,Adult,0.32,uM
HMDB0008564,PC(22:1(13Z)/18:1(9Z)),Blood,Infant,0.29,uM
HMDB0008564,PC(22:1(13Z)/18:1(9Z)),Blood,Newborn,0.25,uM
HMDB0008564,PC(22:1(13Z)/18:1(9Z)),Feces,Adult,0.085,nmol/g wet feces
HMDB0008564,PC(22:1(13Z)/18:1(9Z)),Urine,Newborn,0,umol/mmol creatinine
HMDB0008565,"PC(22:1(13Z)/18:2(9Z,12Z))",Blood,Adolescent,0.47,uM
HMDB0008565,"PC(22:1(13Z)/18:2(9Z,12Z))",Blood,Adult,0.55,uM
HMDB0008565,"PC(22:1(13Z)/18:2(9Z,12Z))",Blood,Infant,0.49,uM
HMDB0008565,"PC(22:1(13Z)/18:2(9Z,12Z))",Blood,Newborn,0.54,uM
HMDB0008565,"PC(22:1(13Z)/18:2(9Z,12Z))",Feces,Adult,0.03,nmol/g wet feces
HMDB0008565,"PC(22:1(13Z)/18:2(9Z,12Z))",Urine,Adult,3.50E-04,umol/mmol creatinine
HMDB0008566,"PC(22:1(13Z)/18:3(6Z,9Z,12Z))",Blood,Adult,3.655,uM
HMDB0008566,"PC(22:1(13Z)/18:3(6Z,9Z,12Z))",Blood,Infant,3,uM
HMDB0008566,"PC(22:1(13Z)/18:3(6Z,9Z,12Z))",Blood,Newborn,2.59,uM
HMDB0008566,"PC(22:1(13Z)/18:3(6Z,9Z,12Z))",Feces,Adult,0.045,nmol/g wet feces
HMDB0008567,"PC(22:1(13Z)/18:3(9Z,12Z,15Z))",Blood,Adult,3.655,uM
HMDB0008567,"PC(22:1(13Z)/18:3(9Z,12Z,15Z))",Blood,Infant,3,uM
HMDB0008567,"PC(22:1(13Z)/18:3(9Z,12Z,15Z))",Blood,Newborn,2.59,uM
HMDB0008567,"PC(22:1(13Z)/18:3(9Z,12Z,15Z))",Feces,Adult,0.045,nmol/g wet feces
HMDB0008568,"PC(22:1(13Z)/18:4(6Z,9Z,12Z,15Z))",Blood,Adult,13.85,uM
HMDB0008568,"PC(22:1(13Z)/18:4(6Z,9Z,12Z,15Z))",Feces,Adult,0.005,nmol/g wet feces
HMDB0008569,PC(22:1(13Z)/20:0),Blood,Adult,0.32,uM
HMDB0008569,PC(22:1(13Z)/20:0),Blood,Infant,0.27,uM
HMDB0008569,PC(22:1(13Z)/20:0),Blood,Newborn,0.28,uM
HMDB0008569,PC(22:1(13Z)/20:0),Feces,Adult,0.035,nmol/g wet feces
HMDB0008569,PC(22:1(13Z)/20:0),Saliva,Adult,0.025,uM
HMDB0008570,PC(22:1(13Z)/20:1(11Z)),Blood,Adult,0.25,uM
HMDB0008570,PC(22:1(13Z)/20:1(11Z)),Blood,Infant,0.2,uM
HMDB0008570,PC(22:1(13Z)/20:1(11Z)),Blood,Newborn,0.19,uM
HMDB0008570,PC(22:1(13Z)/20:1(11Z)),Feces,Adult,0.1,nmol/g wet feces
HMDB0008570,PC(22:1(13Z)/20:1(11Z)),Saliva,Adult,0.035,uM
HMDB0008570,PC(22:1(13Z)/20:1(11Z)),Urine,Adult,9.00E-04,umol/mmol creatinine
HMDB0008572,"PC(22:1(13Z)/20:3(5Z,8Z,11Z))",Blood,Adult,0.18,uM
HMDB0008572,"PC(22:1(13Z)/20:3(5Z,8Z,11Z))",Blood,Infant,0.2,uM
HMDB0008572,"PC(22:1(13Z)/20:3(5Z,8Z,11Z))",Blood,Newborn,0.24,uM
HMDB0008572,"PC(22:1(13Z)/20:3(5Z,8Z,11Z))",Feces,Adult,0.025,nmol/g wet feces
HMDB0008572,"PC(22:1(13Z)/20:3(5Z,8Z,11Z))",Saliva,Adult,0.007,uM
HMDB0008572,"PC(22:1(13Z)/20:3(5Z,8Z,11Z))",Urine,Adult,8.00E-04,umol/mmol creatinine
HMDB0008573,"PC(22:1(13Z)/20:3(8Z,11Z,14Z))",Blood,Adult,0.18,uM
HMDB0008573,"PC(22:1(13Z)/20:3(8Z,11Z,14Z))",Blood,Infant,0.2,uM
HMDB0008573,"PC(22:1(13Z)/20:3(8Z,11Z,14Z))",Blood,Newborn,0.24,uM
HMDB0008573,"PC(22:1(13Z)/20:3(8Z,11Z,14Z))",Feces,Adult,0.025,nmol/g wet feces
HMDB0008573,"PC(22:1(13Z)/20:3(8Z,11Z,14Z))",Saliva,Adult,0.007,uM
HMDB0008573,"PC(22:1(13Z)/20:3(8Z,11Z,14Z))",Urine,Adult,8.00E-04,umol/mmol creatinine
HMDB0008574,"PC(22:1(13Z)/20:4(5Z,8Z,11Z,14Z))",Blood,Adult,0.385,uM
HMDB0008574,"PC(22:1(13Z)/20:4(5Z,8Z,11Z,14Z))",Blood,Infant,0.39,uM
HMDB0008574,"PC(22:1(13Z)/20:4(5Z,8Z,11Z,14Z))",Blood,Newborn,0.3,uM
HMDB0008574,"PC(22:1(13Z)/20:4(5Z,8Z,11Z,14Z))",Feces,Adult,0.035,nmol/g wet feces
HMDB0008575,"PC(22:1(13Z)/20:4(8Z,11Z,14Z,17Z))",Blood,Adult,0.385,uM
HMDB0008575,"PC(22:1(13Z)/20:4(8Z,11Z,14Z,17Z))",Blood,Infant,0.39,uM
HMDB0008575,"PC(22:1(13Z)/20:4(8Z,11Z,14Z,17Z))",Blood,Newborn,0.3,uM
HMDB0008575,"PC(22:1(13Z)/20:4(8Z,11Z,14Z,17Z))",Feces,Adult,0.035,nmol/g wet feces
HMDB0008576,"PC(22:1(13Z)/20:5(5Z,8Z,11Z,14Z,17Z))",Blood,Adolescent,0.78,uM
HMDB0008576,"PC(22:1(13Z)/20:5(5Z,8Z,11Z,14Z,17Z))",Blood,Adult,0.63,uM
HMDB0008576,"PC(22:1(13Z)/20:5(5Z,8Z,11Z,14Z,17Z))",Blood,Infant,0.61,uM
HMDB0008576,"PC(22:1(13Z)/20:5(5Z,8Z,11Z,14Z,17Z))",Blood,Newborn,0.44,uM
HMDB0008576,"PC(22:1(13Z)/20:5(5Z,8Z,11Z,14Z,17Z))",Feces,Adult,0.485,nmol/g wet feces
HMDB0008586,PC(22:1(13Z)/P-16:0),Blood,Adult,1.23,uM
HMDB0008586,PC(22:1(13Z)/P-16:0),Feces,Adult,0.045,nmol/g wet feces
HMDB0008587,PC(22:1(13Z)/P-18:0),Blood,Adolescent,0.45,uM
HMDB0008587,PC(22:1(13Z)/P-18:0),Blood,Adult,0.415,uM
HMDB0008587,PC(22:1(13Z)/P-18:0),Blood,Infant,0.39,uM
HMDB0008587,PC(22:1(13Z)/P-18:0),Blood,Newborn,0.35,uM
HMDB0008587,PC(22:1(13Z)/P-18:0),Feces,Adult,0.68,nmol/g wet feces
HMDB0008588,PC(22:1(13Z)/P-18:1(11Z)),Blood,Adolescent,0.36,uM
